,Topic,Count,Name,Representation
52,51,57,51_visual_gastric_surgery_bariatric,"['visual', 'gastric', 'surgery', 'bariatric', 'weight', 'bypass', 'loss', 'stomach', 'lapband', 'banding']"
53,52,55,52_ocd_anxiety_panic_disorder,"['ocd', 'anxiety', 'panic', 'disorder', 'attacks', 'symptoms', 'fear', 'you', 'phobia', 'disorders']"
54,53,55,53_repair_treatment_skin_success,"['repair', 'treatment', 'skin', 'success', 'patients', 'sun', 'successful', 'was', 'were', 'melanoma']"
55,54,54,54_botox_filler_fillers_dermal,"['botox', 'filler', 'fillers', 'dermal', 'wrinkles', 'facial', 'radiesse', 'lines', 'hyaluronic', 'skin']"
56,55,54,55_testosterone_hormone_pregnenolone_age,"['testosterone', 'hormone', 'pregnenolone', 'age', 'levels', 'hgh', 'you', 'male', 'men', 'steroids']"
57,56,54,56_physical_activity_sci_mvpa,"['physical', 'activity', 'sci', 'mvpa', 'individuals', 'exercise', 'paraplegia', 'participants', 'tetraplegia', 'participation']"
58,57,54,57_smoking_cigarette_smokers_tobacco,"['smoking', 'cigarette', 'smokers', 'tobacco', 'warnings', 'smoke', 'quit', 'ecigarettes', 'cigarettes', 'nicotine']"
59,58,53,58_sleep_snoring_apnea_cpap,"['sleep', 'snoring', 'apnea', 'cpap', 'nasal', 'you', 'breathing', 'snore', 'airway', 'your']"
60,59,52,59_knee_orthopaedic_orthopedic_dr,"['knee', 'orthopaedic', 'orthopedic', 'dr', 'sports', 'hip', 'surgery', 'his', 'replacement', 'medicine']"
61,60,50,60_prostate_pa_pafp_prostatitis,"['prostate', 'pa', 'pafp', 'prostatitis', 'mdr1', 'cancer', 'psa', 'methylation', 'ln', 'men']"
62,61,50,61_module_preservation_genes_statistics,"['module', 'preservation', 'genes', 'statistics', 'modules', 'p53', 'network', 'gene', 'preserved', 'statistic']"
63,62,49,62_download_psycho_social_analysis,"['download', 'psycho', 'social', 'analysis', 'torn', 'indian', 'server', 'something', 'the', 'mindset']"
64,63,49,63_mri_imaging_ct_johnson,"['mri', 'imaging', 'ct', 'johnson', 'radiation', 'brainlab', 'brain', 'images', 'magnetic', 'radiology']"
65,64,48,64_osteoporosis_fracture_bone_neocate,"['osteoporosis', 'fracture', 'bone', 'neocate', 'zoledronate', 'fractures', 'bones', 'women', 'bmd', 'risk']"
